Episode,Total Reward,Fruits Collected,Survival Time
0,-11.5,0,16
1,89.5,1,6
2,-11.4,0,15
3,-10.2,0,3
4,-10.2,0,3
5,-10.0,0,1
6,89.7,1,4
7,-10.7,0,8
8,-10.6,0,7
9,-11.2,0,13
10,-10.5,0,6
11,-10.3,0,4
12,-10.6,0,7
13,-10.7,0,8
14,-11.2,0,13
15,88.10000000000007,1,20
16,-10.0,0,1
17,-10.8,0,9
18,-10.3,0,4
19,-10.2,0,3
20,-10.1,0,2
21,88.40000000000009,1,17
22,-10.5,0,6
23,87.60000000000008,1,25
24,-11.9,0,20
25,-12.0,0,21
26,-10.2,0,3
27,-10.1,0,2
28,-10.0,0,1
29,-10.2,0,3
30,-11.5,0,16
31,-10.4,0,5
32,-10.1,0,2
33,-11.4,0,15
34,-10.8,0,9
35,-10.5,0,6
36,-10.1,0,2
37,-10.5,0,6
38,-10.8,0,9
39,-10.6,0,7
40,-10.4,0,5
41,-10.4,0,5
42,-11.3,0,14
43,-10.1,0,2
44,-10.5,0,6
45,-10.7,0,8
46,-10.4,0,5
47,-10.3,0,4
48,-10.0,0,1
49,-10.9,0,10
50,-10.3,0,4
51,-11.700000000000001,0,18
52,-10.7,0,8
53,-11.1,0,12
54,-10.5,0,6
55,-10.2,0,3
56,-12.5,0,26
57,-10.2,0,3
58,-10.0,0,1
59,89.20000000000003,1,9
60,-10.5,0,6
61,-10.2,0,3
62,-10.0,0,1
63,-10.0,0,1
64,-10.9,0,10
65,-10.3,0,4
66,-11.0,0,11
67,-10.2,0,3
68,-10.0,0,1
69,-10.7,0,8
70,-11.0,0,11
71,89.10000000000002,1,10
72,-10.1,0,2
73,-10.8,0,9
74,-10.3,0,4
75,-10.8,0,9
76,-10.8,0,9
77,-10.1,0,2
78,89.10000000000001,1,10
79,-11.0,0,11
80,-10.7,0,8
81,-10.6,0,7
82,-11.4,0,15
83,89.10000000000002,1,10
84,-10.8,0,9
85,-10.5,0,6
86,-10.8,0,9
87,-10.4,0,5
88,-10.7,0,8
89,-10.9,0,10
90,-10.2,0,3
91,-10.3,0,4
92,-11.1,0,12
93,-10.2,0,3
94,-11.1,0,12
95,-10.7,0,8
96,-10.5,0,6
97,-10.3,0,4
98,-10.4,0,5
99,-10.2,0,3
100,-10.5,0,6
101,-10.8,0,9
102,-10.5,0,6
103,-11.3,0,14
104,-10.2,0,3
105,-11.1,0,12
106,-10.4,0,5
107,-10.7,0,8
108,-10.6,0,7
109,-10.7,0,8
110,-10.8,0,9
111,-10.1,0,2
112,-10.1,0,2
113,-10.5,0,6
114,-10.8,0,9
115,-10.5,0,6
116,-10.0,0,1
117,-10.5,0,6
118,-10.1,0,2
119,-10.1,0,2
120,-10.2,0,3
121,-11.0,0,11
122,-10.0,0,1
123,-11.2,0,13
124,-10.3,0,4
125,-10.4,0,5
126,-10.2,0,3
127,89.20000000000002,1,9
128,-10.1,0,2
129,-10.5,0,6
130,-10.0,0,1
131,-10.5,0,6
132,-10.9,0,10
133,-10.3,0,4
134,-10.4,0,5
135,-10.5,0,6
136,-10.1,0,2
137,-10.6,0,7
138,-10.4,0,5
139,-10.0,0,1
140,-10.3,0,4
141,-10.7,0,8
142,-10.0,0,1
143,-10.5,0,6
144,-10.6,0,7
145,-10.9,0,10
146,-10.7,0,8
147,-10.4,0,5
148,-11.1,0,12
149,-10.6,0,7
150,-10.2,0,3
151,-10.8,0,9
152,-10.3,0,4
153,89.00000000000001,1,11
154,-10.5,0,6
155,-10.8,0,9
156,89.10000000000005,1,10
157,-10.2,0,3
158,-10.5,0,6
159,-10.7,0,8
160,-10.6,0,7
161,-11.0,0,11
162,-10.8,0,9
163,-10.2,0,3
164,-10.5,0,6
165,-10.4,0,5
166,-10.8,0,9
167,-10.7,0,8
168,-10.5,0,6
169,-11.0,0,11
170,-10.6,0,7
171,-10.5,0,6
172,-10.7,0,8
173,-10.1,0,2
174,-10.4,0,5
175,-10.1,0,2
176,-11.0,0,11
177,-10.3,0,4
178,-10.0,0,1
179,-10.0,0,1
180,89.10000000000002,1,10
181,-10.5,0,6
182,-10.8,0,9
183,-10.7,0,8
184,-10.1,0,2
185,-10.8,0,9
186,-10.7,0,8
187,-10.9,0,10
188,-10.0,0,1
189,-10.0,0,1
190,-10.3,0,4
191,-10.5,0,6
192,-10.4,0,5
193,-10.8,0,9
194,-10.2,0,3
195,-10.2,0,3
196,-10.0,0,1
197,-12.0,0,21
198,-10.1,0,2
199,-10.0,0,1
200,-10.6,0,7
201,-10.2,0,3
202,-10.7,0,8
203,-10.5,0,6
204,-10.6,0,7
205,-10.1,0,2
206,-10.5,0,6
207,-10.3,0,4
208,-10.7,0,8
209,-11.0,0,11
210,-11.3,0,14
211,87.90000000000005,1,22
212,-10.8,0,9
213,-10.5,0,6
214,-10.6,0,7
215,-10.7,0,8
216,-10.7,0,8
217,-10.6,0,7
218,-10.3,0,4
219,-10.0,0,1
220,-10.7,0,8
221,-10.9,0,10
222,-11.2,0,13
223,-11.0,0,11
224,-10.5,0,6
225,-10.3,0,4
226,-10.2,0,3
227,-10.5,0,6
228,-10.1,0,2
229,-11.0,0,11
230,89.30000000000003,1,8
231,-10.1,0,2
232,-10.4,0,5
233,89.10000000000002,1,10
234,-11.1,0,12
235,-10.7,0,8
236,-10.4,0,5
237,-10.0,0,1
238,-11.0,0,11
239,-10.3,0,4
240,-11.5,0,16
241,-10.2,0,3
242,-10.0,0,1
243,-10.4,0,5
244,-10.5,0,6
245,-10.8,0,9
246,-11.0,0,11
247,-10.3,0,4
248,-10.7,0,8
249,-10.0,0,1
250,-10.4,0,5
251,-10.7,0,8
252,-10.2,0,3
253,-10.9,0,10
254,-11.0,0,11
255,-10.5,0,6
256,-10.0,0,1
257,-10.9,0,10
258,-10.1,0,2
259,-10.5,0,6
260,-10.9,0,10
261,-11.0,0,11
262,-10.1,0,2
263,-10.5,0,6
264,-10.2,0,3
265,-10.4,0,5
266,-11.0,0,11
267,-10.1,0,2
268,-10.1,0,2
269,-10.4,0,5
270,-10.2,0,3
271,-10.6,0,7
272,-10.0,0,1
273,-11.1,0,12
274,-10.3,0,4
275,-10.6,0,7
276,-10.1,0,2
277,-10.8,0,9
278,-10.2,0,3
279,-10.8,0,9
280,-10.0,0,1
281,89.60000000000002,1,5
282,-10.6,0,7
283,-10.1,0,2
284,-10.4,0,5
285,-10.3,0,4
286,-10.7,0,8
287,-10.4,0,5
288,-10.9,0,10
289,-10.2,0,3
290,-10.3,0,4
291,-10.4,0,5
292,-10.6,0,7
293,-10.1,0,2
294,-10.3,0,4
295,-11.0,0,11
296,-10.5,0,6
297,-10.0,0,1
298,-10.5,0,6
299,-10.8,0,9
300,-10.6,0,7
301,-10.4,0,5
302,-10.4,0,5
303,-10.0,0,1
304,-10.7,0,8
305,-10.4,0,5
306,-10.4,0,5
307,-10.6,0,7
308,-10.4,0,5
309,-10.5,0,6
310,-10.5,0,6
311,-10.0,0,1
312,-10.0,0,1
313,-10.1,0,2
314,-10.3,0,4
315,-10.2,0,3
316,-10.0,0,1
317,-10.8,0,9
318,-10.9,0,10
319,-10.8,0,9
320,-10.2,0,3
321,-10.2,0,3
322,-10.2,0,3
323,-10.5,0,6
324,-10.6,0,7
325,-10.1,0,2
326,-10.6,0,7
327,-10.3,0,4
328,-10.9,0,10
329,-10.6,0,7
330,-10.2,0,3
331,-10.0,0,1
332,-10.0,0,1
333,-10.1,0,2
334,-10.6,0,7
335,-10.1,0,2
336,-10.0,0,1
337,-10.6,0,7
338,-10.3,0,4
339,-10.3,0,4
340,-10.3,0,4
341,-10.2,0,3
342,-10.4,0,5
343,-11.1,0,12
344,-10.7,0,8
345,-10.8,0,9
346,-11.1,0,12
347,-10.9,0,10
348,-10.1,0,2
349,89.40000000000003,1,7
350,-10.8,0,9
351,-10.4,0,5
352,-10.6,0,7
353,-10.8,0,9
354,-10.8,0,9
355,-10.1,0,2
356,-10.8,0,9
357,89.00000000000003,1,11
358,-10.1,0,2
359,-11.0,0,11
360,-10.1,0,2
361,-10.5,0,6
362,-10.1,0,2
363,-10.9,0,10
364,-10.0,0,1
365,-10.1,0,2
366,-10.9,0,10
367,-10.5,0,6
368,-10.7,0,8
369,-10.1,0,2
370,-10.2,0,3
371,-10.4,0,5
372,-10.7,0,8
373,-10.7,0,8
374,88.90000000000003,1,12
375,-10.5,0,6
376,-10.2,0,3
377,-10.1,0,2
378,-10.7,0,8
379,-10.6,0,7
380,-11.0,0,11
381,-10.7,0,8
382,-10.5,0,6
383,-10.7,0,8
384,-10.9,0,10
385,-10.9,0,10
386,-10.6,0,7
387,-10.5,0,6
388,-10.3,0,4
389,-10.0,0,1
390,-10.6,0,7
391,-10.0,0,1
392,-10.3,0,4
393,-10.4,0,5
394,-10.8,0,9
395,-10.1,0,2
396,-10.0,0,1
397,-10.1,0,2
398,-10.7,0,8
399,-10.4,0,5
400,-10.3,0,4
401,-10.9,0,10
402,-10.5,0,6
403,-10.3,0,4
404,-10.0,0,1
405,-10.1,0,2
406,-10.8,0,9
407,-10.3,0,4
408,-10.7,0,8
409,-10.9,0,10
410,89.50000000000001,1,6
411,-10.4,0,5
412,-10.2,0,3
413,-11.0,0,11
414,-10.0,0,1
415,89.60000000000002,1,5
416,-10.8,0,9
417,-10.0,0,1
418,-10.6,0,7
419,89.30000000000001,1,8
420,-10.1,0,2
421,-10.1,0,2
422,-10.3,0,4
423,-10.4,0,5
424,-10.9,0,10
425,-10.8,0,9
426,-10.9,0,10
427,-10.9,0,10
428,-11.4,0,15
429,-10.7,0,8
430,-10.9,0,10
431,-10.5,0,6
432,-10.3,0,4
433,-10.4,0,5
434,-10.5,0,6
435,-10.2,0,3
436,-10.9,0,10
437,-10.8,0,9
438,-10.9,0,10
439,-10.5,0,6
440,-10.7,0,8
441,-10.0,0,1
442,-10.0,0,1
443,89.40000000000002,1,7
444,-10.6,0,7
445,-10.8,0,9
446,-10.4,0,5
447,-10.2,0,3
448,89.30000000000001,1,8
449,-10.0,0,1
450,89.30000000000003,1,8
451,-10.8,0,9
452,-10.8,0,9
453,-10.7,0,8
454,-10.2,0,3
455,-10.5,0,6
456,89.30000000000003,1,8
457,-10.6,0,7
458,-10.0,0,1
459,-10.8,0,9
460,-10.2,0,3
461,-10.1,0,2
462,-10.9,0,10
463,-10.3,0,4
464,-10.0,0,1
465,-10.2,0,3
466,-10.4,0,5
467,-10.8,0,9
468,-10.5,0,6
469,-10.8,0,9
470,-10.1,0,2
471,89.80000000000001,1,3
472,-10.1,0,2
473,-10.5,0,6
474,-11.2,0,13
475,-10.2,0,3
476,-11.2,0,13
477,-10.0,0,1
478,-10.6,0,7
479,-10.7,0,8
480,-10.9,0,10
481,-11.0,0,11
482,-10.7,0,8
483,-10.8,0,9
484,-10.6,0,7
485,-10.3,0,4
486,89.60000000000001,1,5
487,-10.3,0,4
488,-10.8,0,9
489,89.50000000000001,1,6
490,-10.1,0,2
491,-10.1,0,2
492,89.50000000000003,1,6
493,-10.7,0,8
494,-10.8,0,9
495,-10.8,0,9
496,-10.4,0,5
497,-10.1,0,2
498,-10.5,0,6
499,-10.0,0,1
500,89.20000000000003,1,9
501,-10.3,0,4
502,-10.4,0,5
503,-10.5,0,6
504,-10.9,0,10
505,-10.6,0,7
506,-10.8,0,9
507,-10.5,0,6
508,-10.7,0,8
509,89.7,1,4
510,-11.1,0,12
511,-11.0,0,11
512,-10.2,0,3
513,-10.9,0,10
514,-10.8,0,9
515,-10.9,0,10
516,-10.8,0,9
517,-10.9,0,10
518,-10.6,0,7
519,-10.1,0,2
520,-10.9,0,10
521,-10.8,0,9
522,-10.0,0,1
523,-10.0,0,1
524,89.20000000000005,1,9
525,-10.1,0,2
526,-10.7,0,8
527,89.70000000000002,1,4
528,-10.7,0,8
529,-10.3,0,4
530,-10.0,0,1
531,-10.4,0,5
532,-10.4,0,5
533,-10.3,0,4
534,-10.8,0,9
535,-10.5,0,6
536,-10.7,0,8
537,-10.5,0,6
538,-10.0,0,1
539,-10.1,0,2
540,-10.2,0,3
541,-10.0,0,1
542,-10.1,0,2
543,-11.0,0,11
544,-10.8,0,9
545,-10.2,0,3
546,-10.9,0,10
547,89.40000000000003,1,7
548,-10.4,0,5
549,-10.4,0,5
550,-10.7,0,8
551,-10.5,0,6
552,-11.6,0,17
553,-10.9,0,10
554,89.4,1,7
555,-10.2,0,3
556,-10.1,0,2
557,-10.1,0,2
558,-10.9,0,10
559,-10.6,0,7
560,-10.1,0,2
561,-10.0,0,1
562,-10.5,0,6
563,-10.7,0,8
564,-10.7,0,8
565,-10.1,0,2
566,-10.2,0,3
567,-10.9,0,10
568,89.40000000000002,1,7
569,-10.3,0,4
570,-10.0,0,1
571,-10.6,0,7
